Movie_Name,Release_Year,User_votes,Rating,Metascore,Runtime_(Mins),Certified,collection(M),Genre,Lead_actor,Directed_by
Hereditary,2018,"323,635",7.3,87,127,A,$44.07 ,Drama,Toni Collette,Ari Aster
Bohemian Rhapsody,2018,"543,224",7.9,49,134,UA,$216.43 ,Biography,Rami Malek,Bryan Singer
A Quiet Place,2018,"534,867",7.5,82,90,A,$188.02 ,Drama,Emily Blunt,John Krasinski
Black Panther,2018,"778,318",7.3,88,134,UA,$700.06 ,Action,Chadwick Boseman,Ryan Coogler
Crazy Rich Asians,2018,"175,168",6.9,74,120,UA,$174.53 ,Comedy,Constance Wu,Jon M. Chu
Avengers: Infinity War,2018,"1,086,293",8.4,68,149,UA,$678.82 ,Action,Robert Downey Jr.,Anthony Russo
Ready Player One,2018,"440,785",7.4,64,140,UA,$137.69 ,Action,Tye Sheridan,Steven Spielberg
Mission: Impossible - Fallout,2018,"336,370",7.7,86,147,U/A,$220.16 ,Action,Tom Cruise,Christopher McQuarrie
Beautiful Boy,2018,"80,591",7.3,62,120,R,$7.65 ,Biography,Steve Carell,Felix van Groeningen
Spider-Man: Into the Spider-Verse,2018,"534,691",8.4,87,117,U,$190.24 ,Animation,Shameik Moore,Bob Persichetti
Mary Queen of Scots,2018,"51,654",6.3,60,124,A,$16.47 ,Biography,Saoirse Ronan,Josie Rourke
Jurassic World: Fallen Kingdom,2018,"320,110",6.1,51,128,UA,$417.72 ,Action,Chris Pratt,J.A. Bayona
The Guernsey Literary and Potato Peel Pie Society,2018,"47,915",7.3,65,124,Not Rated,,Drama,Jessica Brown Findlay,Mike Newell
Ant-Man and the Wasp,2018,"406,683",7,70,118,UA,$216.65 ,Action,Paul Rudd,Peyton Reed
The Ballad of Buster Scruggs,2018,"150,719",7.3,79,133,18,,Comedy,Tim Blake Nelson,Ethan Coen
Red Sparrow,2018,"188,761",6.6,53,140,A,$46.87 ,Action,Jennifer Lawrence,Francis Lawrence
The House That Jack Built,2018,"78,997",6.8,42,152,A,$0.09 ,Crime,Matt Dillon,Lars von Trier
Green Book,2018,"496,873",8.2,69,130,UA,$85.08 ,Biography,Viggo Mortensen,Peter Farrelly
Sicario: Day of the Soldado,2018,"150,997",7,61,122,UA,$50.07 ,Action,Benicio Del Toro,Stefano Sollima
A Simple Favor,2018,"151,508",6.8,67,117,15+,$53.55 ,Comedy,Anna Kendrick,Paul Feig
Deadpool 2,2018,"587,614",7.7,66,119,R,$324.59 ,Action,Ryan Reynolds,David Leitch
Vice,2018,"150,128",7.2,61,132,R,$47.84 ,Biography,Christian Bale,Adam McKay
Suspiria,2018,"80,966",6.7,64,152,A,$2.47 ,Drama,Chloë Grace Moretz,Luca Guadagnino
Ocean's Eight,2018,"222,601",6.3,61,110,UA,$140.22 ,Action,Sandra Bullock,Gary Ross
A Star Is Born,2018,"388,348",7.6,88,136,A,$215.29 ,Drama,Lady Gaga,Bradley Cooper
Fantastic Beasts: The Crimes of Grindelwald,2018,"286,850",6.5,52,134,UA,$159.56 ,Adventure,Eddie Redmayne,David Yates
Annihilation,2018,"330,688",6.8,79,115,18,$32.73 ,Adventure,Natalie Portman,Alex Garland
Aquaman,2018,"478,774",6.8,55,143,UA,$335.06 ,Action,Jason Momoa,James Wan
Bumblebee,2018,"168,693",6.7,66,114,UA,$127.20 ,Action,Hailee Steinfeld,Travis Knight
Solo: A Star Wars Story,2018,"351,278",6.9,62,135,UA,$213.77 ,Action,Alden Ehrenreich,Ron Howard
Mid90s,2018,"67,678",7.3,66,85,R,$7.36 ,Comedy,Sunny Suljic,Jonah Hill
The Favourite,2018,"203,193",7.5,91,119,18,$34.37 ,Biography,Olivia Colman,Yorgos Lanthimos
The Nun,2018,"143,669",5.3,46,96,A,$117.45 ,Horror,Demián Bichir,Corin Hardy
Den of Thieves,2018,"114,260",7,49,140,A,$44.95 ,Action,Gerard Butler,Christian Gudegast
Widows,2018,"99,290",6.8,84,129,18,$42.40 ,Crime,Viola Davis,Steve McQueen
The Meg,2018,"173,872",5.6,46,113,UA,$143.01 ,Action,Jason Statham,Jon Turteltaub
Bird Box,2018,"347,067",6.6,51,124,18,,Horror,Sandra Bullock,Susanne Bier
Venom,2018,"490,137",6.6,35,112,UA,$213.52 ,Action,Tom Hardy,Ruben Fleischer
Fifty Shades Freed,2018,"67,376",4.5,31,105,18,$100.41 ,Drama,Dakota Johnson,James Foley
BlacKkKlansman,2018,"267,473",7.5,83,135,18,$49.28 ,Biography,John David Washington,Spike Lee
Under the Silver Lake,2018,"44,301",6.5,60,139,R,$0.05 ,Crime,Andrew Garfield,David Robert Mitchell
The Equalizer 2,2018,"163,012",6.7,50,121,UA,$102.08 ,Action,Denzel Washington,Antoine Fuqua
Game Night,2018,"238,276",6.9,66,100,A,$69.18 ,Action,Jason Bateman,John Francis Daley
Mandy,2018,"81,163",6.5,81,121,Not Rated,$1.21 ,Action,Nicolas Cage,Panos Cosmatos
Acrimony,2018,"9,231",5.8,32,120,R,$43.55 ,Horror,Taraji P. Henson,Tyler Perry
Searching,2018,"165,062",7.6,71,102,U/A,$26.02 ,Drama,John Cho,Aneesh Chaganty
Capharnaüm,2018,"91,339",8.4,75,126,A,$1.66 ,Drama,Zain Al Rafeea,Nadine Labaki
Set It Up,2018,"55,984",6.5,62,105,18,,Comedy,Zoey Deutch,Claire Scanlon
Incredibles 2,2018,"300,692",7.6,80,118,UA,$608.58 ,Animation,Craig T. Nelson,Brad Bird
Climax,2018,"70,640",6.9,67,97,A,$0.80 ,Drama,Sofia Boutella,Gaspar Noé
Knives Out,2019,"684,436",7.9,82,130,UA,$165.36 ,Comedy,Daniel Craig,Rian Johnson
Once Upon a Time in Hollywood,2019,"745,245",7.6,83,161,A,$142.50 ,Comedy,Leonardo DiCaprio,Quentin Tarantino
Midsommar,2019,"330,056",7.1,72,148,A,$27.33 ,Drama,Florence Pugh,Ari Aster
Avengers: Endgame,2019,"1,137,018",8.4,78,181,UA,$858.37 ,Action,Robert Downey Jr.,Anthony Russo
The Gentlemen,2019,"344,458",7.8,51,113,A,$36.47 ,Action,Matthew McConaughey,Guy Ritchie
Parasite,2019,"810,344",8.5,96,132,A,$53.37 ,Drama,Song Kang-ho,Bong Joon Ho
The Lion King,2019,"247,850",6.8,55,118,U,$543.64 ,Animation,Donald Glover,Jon Favreau
How I Became a Gangster,2019,"3,556",6.9,,140,,,Crime,Marcin Kowalczyk,Maciej Kawulski
Joker,2019,"1,294,890",8.4,59,122,A,$335.45 ,Crime,Joaquin Phoenix,Todd Phillips
John Wick: Chapter 3 - Parabellum,2019,"348,918",7.4,73,130,A,$171.02 ,Action,Keanu Reeves,Chad Stahelski
Little Women,2019,"209,545",7.8,91,135,U,$108.10 ,Drama,Saoirse Ronan,Greta Gerwig
1917,2019,"595,873",8.2,78,119,R,$159.23 ,Action,Dean-Charles Chapman,Sam Mendes
Ready or Not,2019,"155,373",6.8,64,95,A,$28.71 ,Action,Samara Weaving,Matt Bettinelli-Olpin
Jojo Rabbit,2019,"394,767",7.9,58,108,UA,$33.37 ,Comedy,Roman Griffin Davis,Taika Waititi
After,2019,"57,228",5.3,30,105,A,$12.14 ,Drama,Josephine Langford,Jenny Gage
Ford v Ferrari,2019,"398,845",8.1,81,152,UA,$117.62 ,Action,Matt Damon,James Mangold
The Irishman,2019,"392,350",7.8,94,209,16,$7.00 ,Biography,Robert De Niro,Martin Scorsese
Alita: Battle Angel,2019,"272,052",7.3,53,122,UA,$85.71 ,Action,Rosa Salazar,Robert Rodriguez
Star Wars: Episode IX - The Rise of Skywalker,2019,"455,216",6.5,53,141,UA,$515.20 ,Action,Daisy Ridley,J.J. Abrams
Anna,2019,"84,427",6.6,40,118,A,$7.74 ,Action,Sasha Luss,Luc Besson
Us,2019,"304,311",6.8,81,116,A,$175.08 ,Horror,Lupita Nyong'o,Jordan Peele
Uncut Gems,2019,"286,419",7.4,91,135,18,,Crime,Adam Sandler,Benny Safdie
Terminator: Dark Fate,2019,"180,342",6.2,54,128,UA,$62.25 ,Action,Linda Hamilton,Tim Miller
Aladdin,2019,"269,347",6.9,53,128,U,$355.56 ,Adventure,Will Smith,Guy Ritchie
Jumanji: The Next Level,2019,"254,696",6.7,58,123,UA,$316.83 ,Action,Dwayne Johnson,Jake Kasdan
Shazam!,2019,"342,890",7,71,132,UA,$140.37 ,Action,Zachary Levi,David F. Sandberg
Ad Astra,2019,"238,988",6.5,80,123,12+,$50.19 ,Adventure,Brad Pitt,James Gray
The Lighthouse,2019,"221,246",7.4,83,109,18,$0.43 ,Comedy,Robert Pattinson,Robert Eggers
A Beautiful Day in the Neighborhood,2019,"81,868",7.2,80,109,UA,$61.70 ,Biography,Matthew Rhys,Marielle Heller
10 Minutes Gone,2019,"3,916",3.6,13,89,R,,Action,Michael Chiklis,Brian A. Miller
The King,2019,"132,970",7.3,62,140,18,,Biography,Tom Glynn-Carney,David Michôd
El hoyo,2019,"230,595",7,73,94,18,,Horror,Ivan Massagué,Galder Gaztelu-Urrutia
Fast & Furious Presents: Hobbs & Shaw,2019,"215,588",6.5,60,137,A,$173.96 ,Action,Dwayne Johnson,David Leitch
6 Underground,2019,"179,918",6.1,41,128,18,,Action,Ryan Reynolds,Michael Bay
Murder Mystery,2019,"131,441",6,38,97,12,,Action,Adam Sandler,Kyle Newacheck
Glass,2019,"246,787",6.6,43,129,UA,$111.05 ,Drama,James McAvoy,M. Night Shyamalan
Captain Marvel,2019,"564,528",6.8,64,123,UA,$426.83 ,Action,Brie Larson,Anna Boden
Marriage Story,2019,"314,068",7.9,94,137,U,$2.00 ,Drama,Adam Driver,Noah Baumbach
